ADJACÊNCIA	PESO
29 -> 1 		 28
80 -> 2 		 49
52 -> 3 		 43
31 -> 4 		 95
88 -> 5 		 21
23 -> 6 		 66
4 -> 7 		 72
17 -> 8 		 93
35 -> 9 		 7
51 -> 10 		 65
78 -> 11 		 64
53 -> 12 		 61
99 -> 13 		 66
56 -> 14 		 24
53 -> 15 		 8
33 -> 16 		 37
70 -> 17 		 17
17 -> 18 		 73
72 -> 19 		 60
48 -> 20 		 77
91 -> 21 		 4
34 -> 22 		 52
92 -> 23 		 27
64 -> 24 		 6
66 -> 25 		 56
20 -> 26 		 72
3 -> 27 		 57
64 -> 28 		 21
12 -> 29 		 49
8 -> 30 		 68
37 -> 31 		 95
91 -> 32 		 85
25 -> 33 		 32
5 -> 34 		 79
1 -> 35 		 0
49 -> 36 		 22
92 -> 37 		 61
72 -> 38 		 27
10 -> 39 		 18
75 -> 40 		 4
71 -> 41 		 15
8 -> 42 		 40
63 -> 43 		 7
69 -> 44 		 52
75 -> 45 		 82
18 -> 46 		 69
42 -> 47 		 66
54 -> 48 		 11
92 -> 49 		 5
5 -> 50 		 3
96 -> 51 		 95
0 -> 52 		 29
36 -> 53 		 26
14 -> 54 		 86
3 -> 55 		 55
27 -> 56 		 71
29 -> 57 		 61
2 -> 58 		 35
48 -> 59 		 46
48 -> 60 		 31
52 -> 61 		 17
50 -> 62 		 65
92 -> 63 		 41
22 -> 64 		 12
16 -> 65 		 62
37 -> 66 		 65
52 -> 67 		 84
49 -> 68 		 77
20 -> 69 		 99
61 -> 70 		 64
57 -> 71 		 52
35 -> 72 		 24
89 -> 73 		 49
26 -> 74 		 73
3 -> 75 		 20
60 -> 76 		 22
6 -> 77 		 31
54 -> 78 		 99
21 -> 79 		 55
59 -> 80 		 47
27 -> 81 		 65
66 -> 82 		 85
78 -> 83 		 80
93 -> 84 		 83
67 -> 85 		 34
93 -> 86 		 73
33 -> 87 		 72
61 -> 88 		 20
60 -> 89 		 55
99 -> 90 		 21
37 -> 91 		 96
70 -> 92 		 91
37 -> 93 		 0
62 -> 94 		 87
35 -> 95 		 13
26 -> 96 		 19
64 -> 97 		 50
60 -> 98 		 26
14 -> 99 		 72
