ADJACÊNCIA	PESO
2 -> 1 		 93
37 -> 2 		 93
4 -> 3 		 37
2 -> 4 		 18
0 -> 5 		 3
18 -> 6 		 54
25 -> 7 		 32
15 -> 8 		 74
34 -> 9 		 18
33 -> 10 		 21
16 -> 11 		 37
31 -> 12 		 58
11 -> 13 		 12
29 -> 14 		 70
35 -> 15 		 90
35 -> 16 		 71
20 -> 17 		 44
26 -> 18 		 36
16 -> 19 		 34
9 -> 20 		 1
27 -> 21 		 47
19 -> 22 		 82
18 -> 23 		 68
38 -> 24 		 39
17 -> 25 		 19
5 -> 26 		 0
4 -> 27 		 62
37 -> 28 		 93
12 -> 29 		 91
2 -> 30 		 79
18 -> 31 		 29
6 -> 32 		 37
31 -> 33 		 96
26 -> 34 		 57
17 -> 35 		 17
16 -> 36 		 70
10 -> 37 		 85
35 -> 38 		 23
37 -> 39 		 61
